Filial;Hist;Nome Filial;Endereço;Bairro;Cidade;UF;Logomarca;Telefone;IP Banco 12
44;44;MOEMA - A;AV MOEMA, 370 , CEP - 04077021;MOEMA;SAO PAULO;SP;RAIA;(11) 50518093          ;10.140.44.12
45;45;FARIA LIMA;AVENIDA BRIGADEIRO FARIA LIMA, 1727 , CEP - 01452001;JARDIM AMERICA;SAO PAULO;SP;RAIA; ;10.140.45.12
46;46;PERDIZES - A;R CARDOSO DE ALMEIDA, 275 , CEP - 05013000;PERDIZES;SAO PAULO;SP;RAIA;(11) 971946019         ;10.140.46.12
47;47;TUCURUVI;AVENIDA NOVA CANTAREIRA, 3245 , CEP - 02341000;AGUA FRIA;SAO PAULO;SP;RAIA;(11) 22622854          ;10.140.47.12
49;49;CAMPINAS - B;AV FRANCISCO GLICERIO, 1341 , CEP - 13012000;CENTRO;CAMPINAS;SP;RAIA;(19) 32360811          ;10.140.49.12
53;53;ALTO DA BOA VISTA;RUA AMERICO BRASILIENSE, 569 , CEP - 04715003;ALTO DA BOA VISTA;SAO PAULO;SP;RAIA;(11) 55233223          ;10.140.53.12
54;54;TATUAPE;PRACA SILVIO ROMERO, 80 , CEP - 03323000;TATUAPE;SAO PAULO;SP;RAIA;(11) 22956673          ;10.140.54.12
57;57;SAUDE;AVENIDA JABAQUARA, 1314 , CEP - 04046200;SAUDE;SAO PAULO;SP;RAIA;(11) 50713865          ;10.140.57.12
58;58;BUTANTA;AVENIDA VITAL BRASIL, 752 , CEP - 05503000;BUTANTA;SAO PAULO;SP;RAIA;(11 ) 996075331         ;10.140.58.12
60;60;ALPHAVILLE - A;ALAMEDA RIO NEGRO, 1245 , CEP - 06454001;ALPHAVILLE EMPRESARIAL;BARUERI;SP;RAIA;(11) 41913124          ;10.140.60.12
61;61;HIGIENOPOLIS;AVENIDA ANGELICA, 1062 , CEP - 01228100;HIGIENOPOLIS;SAO PAULO;SP;RAIA;(11) 38252221          ;10.140.61.12
62;62;VILA BUARQUE;RUA MARIA ANTONIA, 283 , CEP - 01222010;VILA BUARQUE;SAO PAULO;SP;RAIA;(11) 32554946          ;10.140.62.12
63;63;CIDADE OCIAN;RUA FAGUNDES VARELLA, 283 , CEP - 11704220;OCIAN;PRAIA GRANDE;SP;RAIA;(13) 34718317          ;192.1.63.12
66;66;VILA PRUDENTE;PRACA PADRE DAMIAO, 143 , CEP - 03126050;VILA PRUDENTE;SAO PAULO;SP;RAIA;(11) 25911300          ;10.140.66.12
67;67;VILA SONIA;AVENIDA PROFESSOR FRANCISCO MORATO, 2830 , CEP - 05512300;VILA SONIA;SAO PAULO;SP;RAIA;(11) 37424677          ;10.140.67.12
69;69;VILA CLEMENTINO - A;R DOMINGOS DE MORAES, 2350 , CEP - 04036000;VILA CLEMENTINO;SAO PAULO;SP;RAIA;(11) 50824637          ;10.140.69.12
73;73;SANTOS - B;RUA MATO GROSSO, 33 , CEP - 11055011;BOQUEIRAO;SANTOS;SP;RAIA;(13) 32237530          ;10.140.73.12
74;74;GUARULHOS - A;R CAPITAO GABRIEL, 396 , CEP - 07011010;CENTRO;GUARULHOS;SP;RAIA;(11) 49637025          ;10.140.74.12
76;76;VILA ANDRADE;AVENIDA GIOVANNI GRONCHI, 5111 , CEP - 05724003;VILA ANDRADE;SAO PAULO;SP;RAIA;(11) 37442089          ;192.1.76.12
77;77;PAMPLONA;RUA JOSE MARIA LISBOA, 645 , CEP - 01423001;JARDIM PAULISTANO;SAO PAULO;SP;RAIA;(11) 38848235          ;10.140.77.12
78;78;PADRE JOAO MANOEL;R PADRE JOAO MANOEL, 241 , CEP - 01411001;CERQUEIRA CESAR;SAO PAULO;SP;RAIA;(11) 30820650          ;10.140.78.12
81;81;PARAISO - B;RUA TUTOIA, 1045 , CEP - 04007005;PARAISO;SAO PAULO;SP;RAIA;(11) 38847750          ;10.140.81.12
82;82;PIRITUBA;AVENIDA BENEDITO ANDRADE, 358 , CEP - 02936000;JARDIM SAO JOSE;SAO PAULO;SP;RAIA;(11) 39713757          ;10.140.82.12
84;84;GUARULHOS - B;R TABAJARA, S/N , CEP - 07111120;VILA SAO JORGE;GUARULHOS;SP;RAIA;(11) 24088778          ;10.140.84.12
85;85;CASA VERDE;AV BRAZ LEME, 2097 , CEP - 02022010;SANTANA;SAO PAULO;SP;RAIA;(11) 22833326          ;10.140.85.12
86;86;IPANEMA - A;R VISCONDE DE PIRAJA, 210 , CEP - 22410003;IPANEMA;RIO DE JANEIRO;RJ;RAIA;(21) 25132530          ;192.1.86.12
87;87;LEBLON - A;AV ATAULFO DE PAIVA, 341 , CEP - 22440032;IPANEMA;RIO DE JANEIRO;RJ;RAIA;(21) 971247731         ;192.1.87.12
88;88;COPACABANA - A;AV NOSSA SENHORA DE COPACABANA, 919 , CEP - 22060001;COPACABANA;RIO DE JANEIRO;RJ;RAIA;(21) 25480524          ;192.1.88.12
90;90;MOEMA - B;R GAIVOTAS, 1177 , CEP - 04522033;MOEMA;SAO PAULO;SP;RAIA;(11) 933544065         ;10.140.90.12
91;91;COPACABANA - B;AV NOSSA SENHORA DE COPACABANA, 442 , CEP - 22020001;COPACABANA;RIO DE JANEIRO;RJ;RAIA;(21) 25488262          ;192.1.91.12
93;93;SAO JOSE DOS CAMPOS - A;AV DOUTOR ADHEMAR DE BARROS, 750 , CEP - 12245010;VILA ADY ANA;SAO JOSE DOS CAMPOS;SP;RAIA;(12) 39215656          ;10.140.93.12
95;95;COPACABANA - D;R MINISTRO VIVEIROS DE CASTRO, 46 , CEP - 22021010;COPACABANA;RIO DE JANEIRO;RJ;RAIA;(21) 25437209          ;192.1.95.12
96;96;GRANJA VIANA - A;RODOVIA RAPOSO TAVARES, 0 , CEP - 06709015;GRANJA VIANA;COTIA;SP;RAIA;(11) 47027084          ;10.140.96.12
97;97;CAMPINAS - D;AV JULIO DE MESQUITA, 865 , CEP - 13025063;CAMBUI;CAMPINAS;SP;RAIA;(19) 32555067          ;10.140.97.12
98;98;COPACABANA - C;NOSSA SENHORA DE COPACABANA, 787 , CEP - 22050001;COPACABANA;RIO DE JANEIRO;RJ;RAIA;(21) 25472532          ;192.1.98.12
99;99;LEBLON - B;AV ATAULFO DE PAIVA, 1283 , CEP - 22440034;LEBLON;RIO DE JANEIRO;RJ;RAIA;(21) 22748023          ;192.1.99.12
100;100;BROOKLIN NOVO;RUA NEBRASKA, 105 , CEP - 04560010;BROOKLIN;SAO PAULO;SP;RAIA;(11) 55352061          ;10.140.100.12
101;101;GAVEA;AV MARQUES DE SAO VICENTE, 22 , CEP - 22451040;GAVEA;RIO DE JANEIRO;RJ;RAIA;(21) 22394913          ;192.1.101.12
102;102;JARDIM BOTANICO;RUA JARDIM BOTANICO, 647 , CEP - 22470050;JARDIM BOTANICO;RIO DE JANEIRO;RJ;RAIA;(21) 25126095          ;192.1.102.12
103;103;BARRA DA TIJUCA - B;AVENIDA DAS AMERICAS, 7000 , CEP - 22793081;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;RAIA;(21) 24311081          ;192.1.103.12
104;104;VILA LEOPOLDINA;RUA SCHILLING, 390 , CEP - 05302001;VILA LEOPOLDINA;SAO PAULO;SP;RAIA;(11) 38321208          ;10.140.104.12
106;106;VILA SAO FRANCISCO;R DOUTOR CANDIDO MOTTA FILHO, 648 , CEP - 05351000;CIDADE SAO FRANCISCO;SAO PAULO;SP;RAIA;(11) 37664232          ;10.140.106.12
108;108;MEIER - A;RUA DIAS DA CRUZ, 454 , CEP - 20720012;MEIER;RIO DE JANEIRO;RJ;RAIA;(21) 25969887          ;192.1.108.12
109;109;RECREIO DOS BANDEIRANTES - A;AVENIDA DAS AMERICAS, 14737 , CEP - 22790701;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;RAIA;(21) 24874588          ;192.1.109.12
112;112;MARECHAL DEODORO;RUA MARECHAL DEODORO, 393 , CEP - 80020320;CENTRO;CURITIBA;PR;RAIA;(41) 33232271          ;192.1.112.12
113;113;LOURDES;R CURITIBA, 1923 , CEP - 30170122;LOURDES;BELO HORIZONTE;MG;RAIA;(31) 32911741          ;10.140.113.12
114;114;ILHA DO GOVERNADOR A;RUA REPUBLICA ARABE DA SIRIA, 383 , CEP - 21931370;PORTUGUESA;RIO DE JANEIRO;RJ;RAIA;(21) 24622486          ;192.1.114.12
116;116;GUTIERREZ;RUA ANDRE CAVALCANTI, 235 , CEP - 30441025;GUTIERREZ;BELO HORIZONTE;MG;RAIA;(31) 32753402          ;10.140.116.12
117;117;FUNCIONARIOS;RUA CLAUDIO MANOEL, 12 , CEP - 30140100;FUNCIONARIOS;BELO HORIZONTE;MG;RAIA;(31) 32236559          ;192.1.117.12
119;119;FLAMENGO;RUA SENADOR VERGUEIRO, 73 , CEP - 22230000;FLAMENGO;RIO DE JANEIRO;RJ;RAIA;(21) 22051583          ;192.1.119.12
120;120;CT BARIGUI A;RUA PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA, 600 , CEP - 81200100;MOSSUNGUE;CURITIBA;PR;RAIA; ;192.1.120.12
121;121;JARDIM SOCIAL - A;RUA AUGUSTO STRESSER, 1379 , CEP - 80040310;HUGO LANGE;CURITIBA;PR;RAIA;(41) 31424827          ;192.1.121.12
122;122;CHAMPAGNAT - A;RUA MARECHAL JOSE BERNARDINO BORMANN, 1333 , CEP - 80730350;BIGORRILHO;CURITIBA;PR;RAIA;(41) 3339-4715         ;192.1.122.12
123;123;CIDADE JARDIM;AV PRUDENTE DE MORAIS, 880 , CEP - 30380252;CORACAO DE JESUS;BELO HORIZONTE;MG;RAIA;(31) 32968877          ;192.1.123.12
124;124;ANALIA FRANCO - A;RUA APUCARANA, 522 , CEP - 03311000;TATUAPE;SAO PAULO;SP;RAIA;(11) 22251255          ;10.140.124.12
125;125;SAVASSI;RUA ANTONIO DE ALBUQUERQUE, 845 , CEP - 30112011;FUNCIONARIOS;BELO HORIZONTE;MG;RAIA;(31) 32841508          ;10.140.125.12
126;126;GOITACAZES;RUA DOS GOITACAZES, 237 , CEP - 30190050;CENTRO;BELO HORIZONTE;MG;RAIA; ;10.140.126.12
129;129;BARRA SHOPPING;AVENIDA DAS AMERICAS, 4666 , CEP - 22640102;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;RAIA;(21) 24319589          ;192.1.129.12
130;130;AGUA VERDE;RUA BRIGADEIRO FRANCO, 3765 , CEP - 80250030;REBOUCAS;CURITIBA;PR;RAIA;(41) 3333-9340         ;192.1.130.12
132;132;LARANJEIRAS;RUA DAS LARANJEIRAS, 211 , CEP - 22240004;LARANJEIRAS;RIO DE JANEIRO;RJ;RAIA;(21) 25521975          ;192.1.132.12
133;133;ALTO DE SANTANA;RUA VOLUNTARIOS DA PATRIA, 4037 , CEP - 02401400;SANTANA;SAO PAULO;SP;RAIA;(11) 29711466          ;10.140.133.12
134;134;SANTOS - C;AV EPITACIO PESSOA, 539 , CEP - 11030601;APARECIDA;SANTOS;SP;RAIA;(13) 32733233          ;10.140.134.12
135;135;GRANJA VIANA - B;ESTRADA DA ALDEIA, 186 , CEP - 06709300;GRANJA VIANA;COTIA;SP;RAIA;(11) 46128673          ;10.140.135.12
137;137;SAO JOSE DO RIO PRETO - B;AVENIDA BRIGADEIRO FARIA LIMA, 5980 , CEP - 15090000;SAO JOSE;SAO JOSE DO RIO PRETO;SP;RAIA;(17) 32267320          ;10.140.137.12
138;138;SP POMPEIA A;AVENIDA PROFESSOR ALFONSO BOVERO, 1452 , CEP - 05019010;POMPEIA;SAO PAULO;SP;RAIA;(11) 3864-5919         ;10.140.138.12
140;140;BATEL - A;ALAMEDA DOUTOR CARLOS DE CARVALHO, 1005 , CEP - 80430180;BATEL;CURITIBA;PR;RAIA;(41) 33231429          ;192.1.140.12
141;141;MERCES;AVENIDA MANOEL RIBAS, 596 , CEP - 80510020;MERCES;CURITIBA;PR;RAIA;(41) 991852650         ;192.1.141.12
142;142;ALTO DA XV;RUA MARECHAL DEODORO, 2609 , CEP - 80045375;CENTRO;CURITIBA;PR;RAIA;(41) 33621779          ;192.1.142.12
143;143;VILA IZABEL;RUA PETIT CARNEIRO, 1377 , CEP - 80240050;AGUA VERDE;CURITIBA;PR;RAIA;(41) 32448056          ;192.1.143.12
144;144;MORUMBI SHOPPING;AVENIDA ROQUE PETRONI JUNIOR, 1089 , CEP - 04707000;VILA GERTRUDES;SAO PAULO;SP;RAIA;(11) 51811045          ;10.140.144.12
145;145;SANTA BARBARA;RUA PRUDENTE DE MORAES, 36 , CEP - 13450048;CENTRO;SANTA BARBARA D OESTE;SP;RAIA;(19) 34639218          ;192.1.145.12
148;148;ACLIMACAO;AVENIDA DA ACLIMACAO, 815 , CEP - 01531001;ACLIMACAO;SAO PAULO;SP;RAIA;(11) 33415599          ;10.140.148.12
149;149;VILA MADALENA;RUA INACIO PEREIRA DA ROCHA, 296 , CEP - 05432010;VILA MADALENA;SAO PAULO;SP;RAIA;(11) 30345333          ;10.140.149.12
150;150;CHAMPAGNAT - B;RUA PADRE AGOSTINHO, 1568 , CEP - 80710000;BIGORRILHO;CURITIBA;PR;RAIA;(41) 33393800          ;192.1.150.12
152;152;INDAIATUBA - A;RUA QUINZE DE NOVEMBRO, 745 , CEP - 13330070;CENTRO;INDAIATUBA;SP;RAIA;(19) 38344582          ;10.140.152.12
153;153;VILA GUILHERME;AVENIDA LUIZ DUMONT VILLARES, 522 , CEP - 02085000;VILA GUILHERME;SAO PAULO;SP;RAIA;(11) 29504369          ;10.140.153.12
154;154;VILA MARIANA - B;RUA CONSELHEIRO RODRIGUES ALVES, 853 , CEP - 04014012;VILA MARIANA;SAO PAULO;SP;RAIA;(11) 50847126          ;10.140.154.12
155;155;CATANDUVA - A;RUA MARANHAO, 893 , CEP - 15800020;CENTRO;CATANDUVA;SP;RAIA;(17) 35232473          ;10.140.155.12
156;156;SANTOS - D;AVENIDA MARECHAL FLORIANO PEIXOTO, 284 , CEP - 11060301;GONZAGA;SANTOS;SP;RAIA;(13) 997763864         ;10.140.156.12
157;157;BRAGANCA PAULISTA - A;RUA CORONEL TEOFILO LEME, 1202 , CEP - 12900002;CENTRO;BRAGANCA PAULISTA;SP;RAIA;(11) 40343169          ;10.140.157.12
158;158;PIQUERI;AVENIDA GENERAL EDGAR FACO, 648 , CEP - 02924200;VILA ARCADIA;SAO PAULO;SP;RAIA;(11) 39980271          ;192.1.158.12
161;161;BH BURITIS A;AVENIDA PROFESSOR MARIO WERNECK, 1328 , CEP - 30455610;ESTORIL;BELO HORIZONTE;MG;RAIA;(31) 33772137          ;10.140.161.12
162;162;CIDADE NOVA;RUA ILACIR PEREIRA LIMA, 571 , CEP - 31140540;SILVEIRA;BELO HORIZONTE;MG;RAIA;(31) 34810873          ;192.1.162.12
163;163;SAO VICENTE - B;AVENIDA PRESIDENTE WILSON, 256 , CEP - 11310913;ITARARE;SAO VICENTE;SP;RAIA;(13) 34675200          ;10.140.163.12
167;167;CHACARA FLORA;AV WASHINGTON LUIZ, 1749 , CEP - 04662002;SANTO AMARO;SAO PAULO;SP;RAIA;(11) 55247087          ;10.140.167.12
168;168;CAMPINAS - F;AVENIDA ALBINO JOSE BARBOSA DE OLIVEIRA, 1060 , CEP - 13084008;BARAO GERALDO;CAMPINAS;SP;RAIA;(19) 32890169          ;10.140.168.12
169;169;CAMPINAS - G;R DONA JOANA GUSMAO, 16 , CEP - 13073370;GUANABARA;CAMPINAS;SP;RAIA;(19) 32419298          ;10.140.169.12
171;171;BH OURO PRETO A;RUA CONCEICAO DO MATO DENTRO, 414 , CEP - 31310240;OURO PRETO;BELO HORIZONTE;MG;RAIA;(31) 34983768          ;10.140.171.12
172;172;SAO CARLOS - B;AV SAO CARLOS, 1903 , CEP - 13560012;CENTRO;SAO CARLOS;SP;RAIA;(16) 33742817          ;10.140.172.12
173;173;RIBEIRAO PRETO - C;AV PRESIDENTE VARGAS, 1414 , CEP - 14025700;ALTO DA BOA VISTA;RIBEIRAO PRETO;SP;RAIA;(16) 36206894          ;10.140.173.12
175;175;VILA CLEMENTINO - B;RUA DOS OTONIS, 640 , CEP - 04025001;VILA CLEMENTINO;SAO PAULO;SP;RAIA;(11) 50830374          ;10.140.175.12
177;177;ARARAS;RUA TIRADENTES, 501 , CEP - 13600070;CENTRO;ARARAS;SP;RAIA;(19) 35478165          ;10.140.177.12
178;178;PARQUE SAO DOMINGOS;AVENIDA DO ANASTACIO, 655 , CEP - 05119000;PARQUE SAO DOMINGOS;SAO PAULO;SP;RAIA;(11) 36454857          ;10.140.178.12
179;179;BARRETOS;PRACA FRANCISCO BARRETO, 364 , CEP - 14780059;CENTRO;BARRETOS;SP;RAIA;(17) 33233134          ;10.140.179.12
180;180;LIMEIRA - B;RUA TIRADENTES, 1201 , CEP - 13480082;CENTRO;LIMEIRA;SP;RAIA;(19) 34519813          ;10.140.180.12
181;181;ATIBAIA - A;RUA JOAO PIRES, 122 , CEP - 12940500;CENTRO;ATIBAIA;SP;RAIA;(11) 44127242          ;10.140.181.12
182;182;MATAO;AVENIDA QUINZE DE NOVEMBRO, 949 , CEP - 15990170;CENTRO;MATAO;SP;RAIA;(16) 33828014          ;10.140.182.12
183;183;JABOTICABAL;PRACA NOVE DE JULHO, 26 , CEP - 14870325;CENTRO;JABOTICABAL;SP;RAIA;(16) 32048318          ;10.140.183.12
184;184;PIRASSUNUNGA;RUA JOSE BONIFACIO, 463 , CEP - 13630010;CENTRO;PIRASSUNUNGA;SP;RAIA;(19) 35624500          ;10.140.184.12
185;185;VOTUPORANGA;RUA AMAZONAS, 3323 , CEP - 15500004;PATRIMONIO VELHO;VOTUPORANGA;SP;RAIA;(17) 34211416          ;10.140.185.12
186;186;ALPHAVILLE - B;AV DOUTOR YOJIRO TAKAOKA, 4422 , CEP - 06541038;ALPHAVILLE;SANTANA DE PARNAIBA;SP;RAIA;(11) 41531292          ;10.140.186.12
187;187;RECREIO DOS BANDEIRANTES - B;AVENIDA DAS AMERICAS, 13520 , CEP - 22790702;RECREIO DOS BANDEIRANTES;RIO DE JANEIRO;RJ;RAIA;(21) 24370831          ;192.1.187.12
188;188;PERUIBE;AVENIDA PADRE ANCHIETA, 1250 , CEP - 11770042;CENTRO;PERUIBE;SP;RAIA;(13) 34558638          ;10.140.188.12
189;189;BIRIGUI;PRACA DOUTOR GAMA, 422 , CEP - 16200003;CENTRO;BIRIGUI;SP;RAIA;(18) 36341840          ;10.140.189.12
191;191;GRAJAU;RUA BARAO DE MESQUITA, 944 , CEP - 20540004;TIJUCA;RIO DE JANEIRO;RJ;RAIA;(21) 32384373          ;192.1.191.12
192;192;SAO JOSE DOS CAMPOS - C;AV CASSIANO RICARDO, 379 , CEP - 12246870;PARQUE RESIDENCIAL AQUARIOS;SAO JOSE DOS CAMPOS;SP;RAIA;(12) 39215244          ;10.140.192.12
193;193;MEIER - B;RUA SILVA RABELO, 10 , CEP - 20735080;MEIER;RIO DE JANEIRO;RJ;RAIA;(21) 32741819          ;192.1.193.12
194;194;PORTAO;AVENIDA REPUBLICA ARGENTINA, 2838 , CEP - 80610260;PORTAO;CURITIBA;PR;RAIA;(41) 33297755          ;192.1.194.12
198;198;TIJUCA - B;RUA SANTO AFONSO, 356 , CEP - 20511170;TIJUCA;RIO DE JANEIRO;RJ;RAIA;(21) 997170516         ;192.1.198.12
199;199;NITEROI - A;R TAVARES DE MACEDO, 10 , CEP - 24220001;ICARAI;NITEROI;RJ;RAIA;(21) 27046701          ;192.1.199.12
200;200;ANDRADAS;RUA DOS ANDRADAS, 1195 , CEP - 90020009;CENTRO;PORTO ALEGRE;RS;RAIA;(51) 32263127          ;192.1.200.12
201;201;PAMPULHA;AVENIDA PORTUGAL, 2775 , CEP - 31560000;JARDIM ATLANTICO;BELO HORIZONTE;MG;RAIA;(31) 34971612          ;10.140.201.12
202;202;SAO JOSE DOS CAMPOS - D;AVENIDA ANDROMEDA, 1420 , CEP - 12230001;JARDIM SATELITE;SAO JOSE DOS CAMPOS;SP;RAIA;(12) 39394071          ;10.140.202.12
203;203;AMERICANA - B;RUA DAS IMBUIAS, 595 , CEP - 13468090;JARDIM SAO PAULO;AMERICANA;SP;RAIA;(19) 34084053          ;10.140.203.12
204;204;FRANCA - B;AVENIDA PRESIDENTE VARGAS, 530 , CEP - 14401120;CIDADE NOVA;FRANCA;SP;RAIA;(16) 37210512          ;10.140.204.12
205;205;ITU - B;AV PRUDENTE DE MORAES, 270 , CEP - 13309050;CENTRO;ITU;SP;RAIA;(11) 40245767          ;192.1.205.12
206;206;SHOPPING LEBLON;AVENIDA AFRANIO DE MELO FRANCO, 290 , CEP - 22430060;LEBLON;RIO DE JANEIRO;RJ;RAIA;(21) 25128759          ;192.1.206.12
207;207;VILA MASCOTE;AVENIDA MASCOTE, 427 , CEP - 04363000;VILA MASCOTE;SAO PAULO;SP;RAIA;(11) 55639510          ;10.140.207.12
208;208;SAGRADA FAMILIA;RUA PITANGUI, 2425 , CEP - 31030211;SAGRADA FAMILIA;BELO HORIZONTE;MG;RAIA;(31) 34819366          ;10.140.208.12
209;209;JARDIM SAO PAULO;AVENIDA LEONCIO DE MAGALHAES, 1004 , CEP - 02042001;JARDIM SAO PAULO;SAO PAULO;SP;RAIA;(11) 22833681          ;10.140.209.12
210;210;MOINHOS DE VENTO;R FLORENCIO YGARTUA, 118 , CEP - 90430010;MOINHOS DE VENTO;PORTO ALEGRE;RS;RAIA;(51) 33461102          ;192.1.210.12
212;212;MOGI GUACU;R QUINZE DE NOVEMBRO, 38 , CEP - 13840017;CENTRO;MOGI GUACU;SP;RAIA; 96756947          ;10.140.212.12
214;214;PIRACICABA - B;AVENIDA INDEPENDENCIA, 1290 , CEP - 13419155;CENTRO;PIRACICABA;SP;RAIA;(19) 34265300          ;10.140.214.12
216;216;BARRA DA TIJUCA - D;AV DAS AMERICAS, 1699 , CEP - 22631000;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;RAIA;(21) 24998388          ;192.1.216.12
218;218;GUARUJA - C;AVENIDA ADHEMAR DE BARROS, 2157 , CEP - 11430003;JARDIM HELENA MARIA;GUARUJA;SP;RAIA;(13) 33874852          ;10.140.218.12
220;220;SHOPPING NEW YORK;AVENIDA DAS AMERICAS, 5000 , CEP - 22640102;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;RAIA;(21) 3481-9366         ;192.1.220.12
221;221;BOTAFOGO;RUA VOLUNTARIOS DA PATRIA, 248 , CEP - 22270010;BOTAFOGO;RIO DE JANEIRO;RJ;RAIA; ;192.1.221.12
222;222;VILA MARIA ALTA;R JOAQUINA RAMALHO, 1239 , CEP - 02065010;VILA GUILHERME;SAO PAULO;SP;RAIA;(11) 29052786          ;10.140.222.12
224;224;PRADO;RUA JOAO LUCIO BRANDAO, 10 , CEP - 30411046;PRADO;BELO HORIZONTE;MG;RAIA;(31) 32954667          ;10.140.224.12
